x,y,euler1,euler2,euler3,phase
1,1,0.0,9.0,180.0,olivine
1,1,1.0,9.0,26.0,olivine
1,1,1.0,9.0,53.0,olivine
1,1,1.0,9.0,80.0,olivine
1,1,1.0,9.0,107.0,olivine
1,1,1.0,9.0,134.0,olivine
1,1,1.0,9.0,161.0,olivine
2,1,1.0,36.0,180.0,olivine
2,1,1.0,36.0,27.0,olivine
2,1,1.0,36.0,54.0,olivine
2,1,1.0,36.0,81.0,olivine
2,1,1.0,36.0,108.0,olivine
2,1,0.0,36.0,135.0,olivine
2,1,1.0,36.0,162.0,olivine
3,1,0.0,63.0,0.0,olivine
3,1,0.0,63.0,27.0,olivine
3,1,0.0,63.0,54.0,olivine
3,1,0.0,63.0,81.0,olivine
3,1,0.0,63.0,108.0,olivine
3,1,0.0,63.0,135.0,olivine
3,1,0.0,63.0,162.0,olivine
4,1,0.0,90.0,0.0,olivine
4,1,0.0,90.0,27.0,olivine
4,1,0.0,90.0,54.0,olivine
4,1,0.0,90.0,81.0,olivine
4,1,0.0,90.0,108.0,olivine
4,1,0.0,90.0,135.0,olivine
4,1,0.0,90.0,162.0,olivine
5,1,27.0,9.0,180.0,olivine
5,1,27.0,9.0,27.0,olivine
5,1,27.0,9.0,54.0,olivine
5,1,27.0,9.0,81.0,olivine
5,1,27.0,9.0,108.0,olivine
5,1,27.0,9.0,135.0,olivine
5,1,27.0,9.0,162.0,olivine
6,1,27.0,36.0,180.0,olivine
6,1,27.0,36.0,27.0,olivine
6,1,27.0,36.0,54.0,olivine
6,1,27.0,36.0,81.0,olivine
6,1,27.0,36.0,108.0,olivine
6,1,27.0,36.0,135.0,olivine
6,1,27.0,36.0,162.0,olivine
7,1,27.0,63.0,180.0,olivine
7,1,27.0,63.0,27.0,olivine
7,1,27.0,63.0,54.0,olivine
7,1,27.0,63.0,81.0,olivine
7,1,27.0,63.0,108.0,olivine
7,1,27.0,63.0,135.0,olivine
7,1,27.0,63.0,162.0,olivine
8,1,27.0,90.0,180.0,olivine
8,1,27.0,90.0,27.0,olivine
8,1,27.0,90.0,54.0,olivine
8,1,27.0,90.0,81.0,olivine
8,1,56.0,90.0,108.0,olivine
8,1,27.0,90.0,135.0,olivine
8,1,27.0,90.0,162.0,olivine
9,1,54.0,9.0,0.0,olivine
9,1,54.0,9.0,27.0,olivine
9,1,54.0,9.0,54.0,olivine
9,1,54.0,9.0,81.0,olivine
9,1,54.0,9.0,108.0,olivine
9,1,54.0,9.0,135.0,olivine
9,1,66.0,8.0,150.0,olivine
10,1,54.0,36.0,180.0,olivine
10,1,54.0,36.0,27.0,olivine
10,1,54.0,36.0,54.0,olivine
10,1,54.0,36.0,81.0,olivine
10,1,54.0,36.0,108.0,olivine
10,1,54.0,36.0,135.0,olivine
10,1,54.0,36.0,162.0,olivine
11,1,54.0,63.0,180.0,olivine
11,1,54.0,63.0,27.0,olivine
11,1,54.0,63.0,54.0,olivine
11,1,54.0,63.0,81.0,olivine
11,1,54.0,63.0,108.0,olivine
11,1,54.0,63.0,135.0,olivine
11,1,54.0,63.0,162.0,olivine
12,1,54.0,90.0,180.0,olivine
12,1,54.0,90.0,27.0,olivine
12,1,54.0,90.0,54.0,olivine
12,1,54.0,90.0,81.0,olivine
12,1,54.0,90.0,108.0,olivine
12,1,54.0,90.0,135.0,olivine
12,1,54.0,90.0,162.0,olivine
13,1,81.0,9.0,0.0,olivine
13,1,81.0,9.0,27.0,olivine
13,1,81.0,9.0,54.0,olivine
13,1,81.0,9.0,81.0,olivine
13,1,81.0,9.0,108.0,olivine
13,1,81.0,9.0,135.0,olivine
13,1,82.0,9.0,161.0,olivine
14,1,81.0,36.0,0.0,olivine
14,1,81.0,36.0,27.0,olivine
14,1,81.0,36.0,54.0,olivine
14,1,81.0,36.0,81.0,olivine
14,1,81.0,36.0,108.0,olivine
14,1,81.0,36.0,135.0,olivine
14,1,81.0,36.0,162.0,olivine
15,1,81.0,63.0,180.0,olivine
15,1,81.0,63.0,27.0,olivine
15,1,81.0,63.0,54.0,olivine
15,1,81.0,63.0,81.0,olivine
15,1,81.0,63.0,108.0,olivine
15,1,81.0,63.0,135.0,olivine
15,1,81.0,63.0,162.0,olivine
16,1,81.0,90.0,180.0,olivine
16,1,81.0,90.0,27.0,olivine
16,1,81.0,90.0,54.0,olivine
16,1,81.0,90.0,81.0,olivine
16,1,81.0,90.0,108.0,olivine
16,1,81.0,90.0,135.0,olivine
16,1,90.0,90.0,162.0,olivine
