Euler1,Euler2,Euler3,default10,default15,default20,default25,default30
0,0,0,0.279,0.0,0.0,0.0,0.242
0,0,7,0.0,0.0,0.0,0.0,0.0
0,0,14,0.387,0.0,0.278,0.0,0.0
0,0,21,0.058,0.272,0.281,0.204,0.0
0,0,28,0.264,0.247,0.0,0.0,0.314
0,0,35,0.0,0.274,0.0,0.0,0.0
0,0,42,0.0,0.347,0.374,0.26,0.0
0,0,49,0.0,0.0,0.127,0.253,0.0
0,0,56,0.0,0.0,0.0,0.0,0.0
0,0,63,0.0,0.0,0.0,0.264,0.0
0,0,70,0.335,0.0,0.0,0.0,0.249
0,0,77,0.252,0.241,0.069,0.0,0.0
0,0,84,0.296,0.187,0.273,0.0,0.238
0,0,91,0.314,0.127,0.0,0.284,0.332
0,0,98,0.277,0.0,0.0,0.273,0.0
0,0,105,0.271,0.303,0.215,0.265,0.0
0,0,112,0.237,0.0,0.0,0.162,0.0
0,0,119,0.245,0.321,0.246,0.0,0.0
0,0,126,0.0,0.31,0.23,0.0,0.0
0,0,133,0.0,0.0,0.287,0.255,0.0
0,0,140,0.279,0.388,0.115,0.184,0.0
0,0,147,0.0,0.279,0.0,0.0,0.0
0,0,154,0.234,0.257,0.231,0.236,0.271
0,0,161,0.0,0.0,0.0,0.0,0.25
0,0,168,0.313,0.0,0.0,0.231,0.0
0,0,175,0.262,0.3,0.0,0.222,0.27
0,7,0,0.016,0.003,0.143,0.149,0.041
0,7,7,0.012,0.566,0.085,0.011,0.001
0,7,14,0.051,1.753,0.009,0.032,0.006
0,7,21,2.729,0.356,0.001,0.146,0.05
0,7,28,0.003,0.003,0.203,0.001,0.004
0,7,35,0.954,0.224,0.001,0.002,0.297
0,7,42,0.48,1.175,0.199,1.58,0.361
0,7,49,0.001,1.391,0.06,0.002,0.035
0,7,56,0.045,0.001,0.133,0.114,0.156
0,7,63,0.24,0.004,0.277,0.307,0.007
0,7,70,0.025,0.006,0.022,0.001,0.002
0,7,77,0.008,0.249,0.304,0.373,0.007
0,7,84,0.001,0.001,0.686,0.1,0.001
0,7,91,0.823,0.001,0.421,0.0,0.068
0,7,98,0.002,0.008,0.001,0.001,0.056
0,7,105,2.301,0.105,0.097,0.001,0.266
0,7,112,0.438,0.267,0.008,0.012,0.002
0,7,119,0.118,0.005,0.052,0.004,0.005
0,7,126,0.404,0.284,0.413,0.246,0.38
0,7,133,0.522,0.001,0.157,0.405,0.032
0,7,140,0.54,0.001,0.056,0.0,0.49
0,7,147,0.009,0.002,0.018,0.287,0.291
0,7,154,0.262,0.511,0.019,0.286,0.306
0,7,161,2.669,0.196,0.438,0.327,0.423
0,7,168,0.531,0.66,0.054,0.002,0.009
0,7,175,1.536,0.23,0.363,2.429,0.022
0,14,0,0.001,0.001,0.001,0.001,0.0
0,14,7,1.295,0.002,0.012,0.009,0.085
0,14,14,0.469,0.065,0.115,0.14,0.018
0,14,21,0.063,0.006,0.001,0.035,0.041
0,14,28,0.06,0.029,0.024,0.07,0.001
0,14,35,0.078,0.015,0.052,0.051,0.078
0,14,42,0.354,0.123,0.117,0.004,0.002
0,14,49,0.075,0.103,0.091,0.106,0.089
0,14,56,0.909,0.069,0.069,0.067,0.066
0,14,63,0.001,0.007,0.008,0.059,0.066
0,14,70,0.077,0.136,0.01,0.064,0.001
0,14,77,0.101,0.077,0.107,0.082,0.108
0,14,84,0.206,0.001,0.24,0.132,0.001
0,14,91,0.243,0.003,0.0,0.0,0.181
0,14,98,0.075,0.129,0.003,0.037,0.06
