Euler1,Euler2,Euler3,default10,default20,default30
0,0,0,0.0,0.0,0.0
0,0,7,0.0,0.276,0.231
0,0,14,0.0,0.152,0.0
0,0,21,0.247,0.253,0.0
0,0,28,0.3,0.0,0.0
0,0,35,0.242,0.0,0.0
0,0,42,0.371,0.0,0.0
0,0,49,0.0,0.29,0.0
0,0,56,0.0,0.0,0.0
0,0,63,0.278,0.0,0.307
0,0,70,0.0,0.0,0.0
0,0,77,0.0,0.0,0.0
0,0,84,0.0,0.0,0.24
0,0,91,0.434,0.0,0.0
0,0,98,0.251,0.0,0.257
0,0,105,0.272,0.0,0.259
0,0,112,0.237,0.34,0.081
0,0,119,0.273,0.011,0.284
0,0,126,0.24,0.0,0.264
0,0,133,0.287,0.275,0.0
0,0,140,0.317,0.0,0.0
0,0,147,0.0,0.0,0.0
0,0,154,0.235,0.0,0.0
0,0,161,0.34,0.265,0.091
0,0,168,0.0,0.319,0.0
0,0,175,0.0,0.0,0.0
0,7,0,0.147,0.127,0.055
0,7,7,0.005,0.029,0.016
0,7,14,1.679,0.989,0.005
0,7,21,0.006,0.001,0.002
0,7,28,0.833,0.124,0.001
0,7,35,0.007,0.009,0.002
0,7,42,0.324,0.657,0.134
0,7,49,0.234,0.005,0.209
0,7,56,3.353,1.758,0.003
0,7,63,0.172,0.318,0.003
0,7,70,0.029,0.12,0.233
0,7,77,0.138,0.053,0.0
0,7,84,0.001,0.002,0.012
0,7,91,0.301,0.182,0.062
0,7,98,0.004,0.062,0.057
0,7,105,1.705,0.001,0.002
0,7,112,0.403,0.042,0.312
0,7,119,0.043,0.003,0.016
0,7,126,0.007,0.001,0.001
0,7,133,0.093,0.183,0.275
0,7,140,0.321,0.043,0.004
0,7,147,0.109,0.454,0.38
0,7,154,0.002,0.208,0.004
0,7,161,0.409,0.416,0.319
0,7,168,0.333,1.005,0.498
0,7,175,0.336,0.29,0.305
0,14,0,0.0,0.037,0.001
0,14,7,0.011,0.002,0.002
0,14,14,0.017,0.285,0.001
0,14,21,0.001,0.001,0.001
0,14,28,0.138,0.09,0.077
0,14,35,0.032,0.01,0.059
0,14,42,0.001,0.197,0.12
0,14,49,0.087,0.144,0.088
0,14,56,0.001,0.073,0.062
0,14,63,0.117,0.089,0.001
0,14,70,0.128,0.087,0.06
0,14,77,0.001,0.003,0.097
0,14,84,0.128,0.034,0.001
0,14,91,0.445,0.128,0.138
0,14,98,0.002,0.001,0.044
0,14,105,0.123,0.127,0.001
0,14,112,0.187,0.001,0.078
0,14,119,0.106,0.113,0.019
0,14,126,0.001,0.064,0.007
0,14,133,0.276,0.181,0.0
0,14,140,0.023,0.217,0.001
0,14,147,0.074,0.112,0.001
0,14,154,2.675,0.07,0.067
0,14,161,0.008,0.052,0.093
0,14,168,0.248,0.207,0.001
0,14,175,0.094,0.196,0.209
0,21,0,0.0,0.0,0.001
0,21,7,2.337,0.001,0.001
0,21,14,0.017,0.133,0.001
0,21,21,0.122,0.052,0.082
0,21,28,0.001,0.116,0.086
0,21,35,0.102,0.004,0.003
0,21,42,0.102,0.011,0.082
0,21,49,0.068,0.073,0.063
0,21,56,0.181,0.251,0.215
0,21,63,0.094,0.001,0.087
0,21,70,0.074,0.067,0.006
0,21,77,0.006,0.084,0.079
0,21,84,0.027,0.001,0.019
0,21,91,0.179,0.099,0.087
0,21,98,0.001,0.001,0.001
0,21,105,0.032,0.081,0.004
0,21,112,0.057,0.067,0.073
0,21,119,0.051,0.016,0.029
0,21,126,0.025,0.001,0.001
0,21,133,0.119,0.076,0.0
0,21,140,0.046,0.071,0.055
0,21,147,0.142,0.002,0.042
0,21,154,0.09,0.082,0.086
0,21,161,0.067,0.076,0.072
0,21,168,0.013,0.029,0.001
0,21,175,0.057,0.05,0.091
0,28,0,0.001,0.091,0.111
0,28,7,0.049,0.034,0.001
0,28,14,0.055,0.005,0.075
0,28,21,0.0,0.001,0.079
0,28,28,0.017,0.016,0.022
0,28,35,0.0,0.029,0.014
0,28,42,0.106,0.091,0.115
0,28,49,0.038,0.072,0.001
0,28,56,0.001,0.001,0.001
0,28,63,0.05,0.124,0.001
0,28,70,0.089,0.075,0.001
0,28,77,0.077,0.061,0.029
0,28,84,0.001,0.001,0.028
0,28,91,0.034,0.069,0.049
0,28,98,0.018,0.002,0.005
0,28,105,0.002,0.012,0.002
0,28,112,0.082,0.097,0.101
0,28,119,0.111,0.003,0.017
0,28,126,0.062,0.048,0.073
0,28,133,0.08,0.083,0.023
0,28,140,0.001,0.011,0.036
0,28,147,0.009,0.036,0.023
0,28,154,0.056,0.041,0.034
0,28,161,0.067,0.001,0.001
0,28,168,0.082,0.003,0.071
0,28,175,0.086,0.075,0.0
0,35,0,0.089,0.081,0.051
0,35,7,0.049,0.001,0.001
0,35,14,0.001,0.102,0.017
0,35,21,0.001,0.128,0.12
0,35,28,0.042,0.003,0.056
0,35,35,0.058,0.044,0.019
0,35,42,0.147,0.065,0.057
0,35,49,0.035,0.07,0.001
0,35,56,0.084,0.003,0.003
0,35,63,0.001,0.001,0.006
0,35,70,0.079,0.015,0.001
0,35,77,0.016,0.003,0.004
0,35,84,0.001,0.0,0.018
0,35,91,0.086,0.002,0.019
0,35,98,0.03,0.025,0.001
0,35,105,0.045,0.002,0.047
0,35,112,0.001,0.03,0.001
0,35,119,0.024,0.002,0.009
0,35,126,0.053,0.002,0.012
0,35,133,0.012,0.081,0.003
0,35,140,0.002,0.001,0.028
0,35,147,0.074,0.041,0.047
0,35,154,0.044,0.001,0.038
0,35,161,0.066,0.057,0.001
0,35,168,0.069,0.0,0.0
0,35,175,0.002,0.038,0.062
0,42,0,0.0,0.135,0.1
0,42,7,0.076,0.002,0.026
0,42,14,0.001,0.047,0.05
0,42,21,0.145,0.079,0.2
0,42,28,0.0,0.003,0.011
0,42,35,0.01,0.0,0.002
0,42,42,0.332,0.002,0.002
0,42,49,0.001,0.055,0.001
0,42,56,0.051,0.032,0.017
0,42,63,0.001,0.049,0.017
0,42,70,0.045,0.04,0.075
0,42,77,0.002,0.045,0.003
0,42,84,0.044,0.02,0.01
0,42,91,0.052,0.057,0.001
0,42,98,0.05,0.015,0.004
0,42,105,0.006,0.003,0.009
0,42,112,0.013,0.047,0.066
0,42,119,0.013,0.058,0.001
0,42,126,0.041,0.001,0.001
0,42,133,0.001,0.066,0.06
0,42,140,0.047,0.025,0.0
0,42,147,0.015,0.001,0.001
0,42,154,0.051,0.059,0.049
0,42,161,0.035,0.051,0.033
0,42,168,0.001,0.009,0.025
0,42,175,0.0,0.019,0.0
0,49,0,0.001,0.0,0.0
0,49,7,0.114,0.021,0.028
0,49,14,0.03,0.001,0.031
0,49,21,0.265,0.048,0.001
0,49,28,0.001,0.031,0.033
0,49,35,0.062,0.001,0.002
0,49,42,0.002,0.001,0.142
0,49,49,0.137,0.094,0.003
0,49,56,0.001,0.022,0.024
0,49,63,0.0,0.047,0.0
0,49,70,0.081,0.001,0.011
0,49,77,0.058,0.036,0.008
0,49,84,0.041,0.038,0.002
0,49,91,0.001,0.05,0.001
0,49,98,0.038,0.001,0.005
0,49,105,0.046,0.004,0.001
0,49,112,0.002,0.014,0.001
0,49,119,0.019,0.001,0.025
0,49,126,0.044,0.055,0.011
0,49,133,0.216,0.026,0.003
0,49,140,0.115,0.1,0.042
0,49,147,0.067,0.001,0.001
0,49,154,0.12,0.002,0.001
