Euler1,Euler2,Euler3,default20,diffEvol,Anne
0,0,0,0.0,0.207,0.342
0,0,7,0.0,0.207,0.143
0,0,14,0.288,0.207,0.0
0,0,21,0.0,0.207,0.083
0,0,28,0.0,0.207,0.394
0,0,35,0.0,0.207,0.461
0,0,42,0.0,0.207,0.297
0,0,49,0.0,0.207,0.08
0,0,56,0.0,0.134,0.405
0,0,63,0.0,0.207,0.259
0,0,70,0.0,0.207,0.068
0,0,77,0.283,0.207,0.374
0,0,84,0.272,0.207,0.549
0,0,91,0.0,0.207,0.052
0,0,98,0.324,0.207,0.177
0,0,105,0.0,0.207,0.182
0,0,112,0.0,0.207,0.325
0,0,119,0.289,0.207,0.323
0,0,126,0.291,0.207,0.298
0,0,133,0.343,0.207,0.138
0,0,140,0.293,0.207,0.333
0,0,147,0.096,0.066,0.381
0,0,154,0.0,0.207,0.157
0,0,161,0.0,0.207,0.083
0,0,168,0.0,0.207,0.308
0,0,175,0.0,0.207,0.439
0,7,0,0.135,0.02,0.441
0,7,7,0.167,0.862,0.862
0,7,14,0.015,1.766,0.068
0,7,21,0.023,0.081,7.0
0,7,28,0.08,3.745,3.745
0,7,35,0.001,4.975,7.0
0,7,42,0.003,0.098,1.197
0,7,49,0.015,6.996,1.195
0,7,56,0.019,0.109,0.915
0,7,63,0.004,0.093,0.479
0,7,70,0.005,0.083,0.56
0,7,77,0.019,0.104,1.2
0,7,84,0.498,0.094,1.347
0,7,91,0.002,0.107,0.956
0,7,98,0.001,0.074,0.279
0,7,105,0.286,0.108,0.212
0,7,112,0.0,0.099,0.539
0,7,119,0.266,0.086,1.515
0,7,126,0.708,0.102,0.275
0,7,133,0.205,0.087,0.392
0,7,140,0.326,0.105,0.264
0,7,147,0.066,0.044,1.271
0,7,154,2.333,0.096,0.015
0,7,161,0.414,0.1,2.113
0,7,168,0.386,0.009,0.496
0,7,175,0.38,0.099,6.991
0,14,0,0.0,0.096,0.36
0,14,7,0.009,1.726,0.345
0,14,14,0.028,3.516,3.464
0,14,21,0.018,5.49,3.472
