Euler1,Euler2,Euler3,4samples,8samples,16samples,24samples
0,0,0,0.0,0.0,0.0,0.226
0,0,7,0.001,0.0,0.0,0.272
0,0,14,0.124,0.0,0.0,0.212
0,0,21,0.0,0.0,0.0,0.249
0,0,28,0.0,0.0,0.0,0.283
0,0,35,2.694,0.0,0.255,0.0
0,0,42,2.353,0.0,0.0,0.0
0,0,49,0.849,0.0,0.0,0.234
0,0,56,0.0,0.0,0.252,0.253
0,0,63,0.001,0.0,0.242,0.25
0,0,70,20.373,0.0,0.0,0.24
0,0,77,2.869,0.0,0.0,0.262
0,0,84,0.004,0.492,0.0,0.0
0,0,91,0.569,0.0,0.0,0.0
0,0,98,0.002,0.0,0.0,0.0
0,0,105,0.0,0.0,0.256,0.285
0,0,112,0.0,0.0,0.0,0.233
0,0,119,0.001,0.0,0.0,0.238
0,0,126,2.678,0.564,0.055,0.247
0,0,133,2.07,0.0,0.0,0.0
0,0,140,1.009,0.34,0.0,0.26
0,0,147,2.164,0.0,0.0,0.252
0,0,154,0.0,0.0,0.0,0.0
0,0,161,0.0,0.404,0.342,0.249
0,0,168,0.711,0.226,0.274,0.226
0,0,175,1.949,0.0,0.0,0.0
0,7,0,0.158,1.146,0.021,0.002
0,7,7,0.63,0.274,0.384,0.003
0,7,14,1.713,0.267,0.926,0.004
0,7,21,6.999,0.002,0.539,0.319
0,7,28,5.325,0.087,0.002,0.026
0,7,35,11.04,0.019,0.087,0.091
0,7,42,9.455,0.088,0.018,0.11
0,7,49,53.363,0.172,0.077,0.001
0,7,56,50.465,0.425,0.688,0.002
0,7,63,1.122,0.008,0.001,0.002
0,7,70,0.781,0.005,0.103,0.081
0,7,77,1.412,1.788,0.004,0.015
0,7,84,1.379,0.495,0.104,0.007
0,7,91,0.637,0.003,0.001,0.078
0,7,98,3.007,0.112,0.176,0.257
0,7,105,11.781,0.997,0.002,0.203
0,7,112,0.02,0.008,0.001,0.001
0,7,119,41.555,0.336,0.001,0.099
0,7,126,0.035,1.626,0.188,0.002
0,7,133,41.443,0.01,0.282,0.254
0,7,140,7.236,0.495,0.002,0.152
0,7,147,2.681,0.474,0.423,0.122
0,7,154,17.094,0.805,0.267,0.255
0,7,161,13.96,0.002,0.341,0.158
0,7,168,2.131,0.373,0.17,0.131
0,7,175,8.862,0.615,0.261,0.087
0,14,0,0.012,0.0,0.0,0.078
0,14,7,1.704,0.559,0.065,0.008
0,14,14,1.183,2.981,0.008,0.067
0,14,21,6.314,0.017,0.029,0.003
0,14,28,6.715,0.206,0.08,1.414
0,14,35,68.79,0.006,0.083,0.052
0,14,42,1.778,0.369,0.002,0.053
0,14,49,0.042,0.332,0.085,0.001
0,14,56,0.363,0.318,0.07,0.048
0,14,63,4.349,0.281,0.001,0.001
0,14,70,16.103,0.004,0.055,0.03
0,14,77,3.248,0.012,0.001,0.073
0,14,84,0.361,0.586,0.214,0.003
0,14,91,1.298,0.51,0.004,0.086
0,14,98,0.233,0.001,0.071,0.04
0,14,105,21.607,0.067,0.001,0.001
0,14,112,1.481,0.109,0.002,0.042
0,14,119,4.133,0.005,0.025,0.084
0,14,126,9.921,0.003,0.042,0.007
0,14,133,17.063,0.282,0.085,0.082
0,14,140,13.367,0.62,0.001,0.042
0,14,147,4.986,1.48,0.163,0.065
0,14,154,43.869,0.131,0.07,0.041
0,14,161,16.417,0.019,0.115,0.001
0,14,168,19.59,0.002,0.298,0.078
0,14,175,0.729,0.008,0.003,0.049
0,21,0,0.003,0.481,0.0,0.0
0,21,7,2.358,0.003,0.002,0.068
0,21,14,2.098,0.035,0.0,0.067
0,21,21,0.219,0.008,0.069,0.05
