Euler1,Euler2,Euler3,6samples,10samples,12samples,14samples,18samples
0,0,0,0.0,0.799,0.0,0.0,0.0
0,0,7,0.0,0.0,0.0,0.0,0.0
0,0,14,0.0,0.0,0.0,0.0,0.244
0,0,21,0.0,0.0,0.0,0.237,0.258
0,0,28,0.001,0.0,0.0,0.227,0.258
0,0,35,0.0,0.0,0.0,0.232,0.0
0,0,42,0.0,0.0,0.0,0.245,0.357
0,0,49,0.507,0.0,0.286,0.0,0.0
0,0,56,0.0,0.0,0.0,0.401,0.233
0,0,63,0.0,0.0,0.224,0.0,0.0
0,0,70,0.0,0.0,0.0,0.09,0.258
0,0,77,0.0,0.0,0.0,0.0,0.239
0,0,84,0.001,0.0,0.0,0.0,0.284
0,0,91,0.0,0.408,0.513,0.292,0.0
0,0,98,0.0,0.0,0.0,0.0,0.207
0,0,105,0.495,0.0,0.495,0.305,0.271
0,0,112,0.0,0.0,0.287,0.0,0.225
0,0,119,0.001,0.233,0.4,0.0,0.0
0,0,126,0.001,0.406,0.19,0.282,0.291
0,0,133,0.0,0.0,0.347,0.0,0.0
0,0,140,0.0,0.343,0.0,0.0,0.0
0,0,147,0.0,0.0,0.0,0.0,0.288
0,0,154,0.0,0.252,0.0,0.0,0.0
0,0,161,0.0,0.0,0.0,0.0,0.0
0,0,168,0.462,0.363,0.0,0.245,0.329
0,0,175,0.0,0.436,0.0,0.266,0.259
0,7,0,0.029,0.006,0.004,0.001,0.096
0,7,7,0.009,0.403,0.307,0.023,0.716
0,7,14,0.255,0.105,0.01,0.061,0.0
0,7,21,0.011,0.746,0.007,0.053,0.392
0,7,28,0.037,0.108,0.003,0.152,0.006
0,7,35,0.129,0.044,0.088,0.062,0.002
0,7,42,0.609,0.001,0.03,0.037,0.105
0,7,49,0.205,0.355,0.119,1.154,0.152
0,7,56,0.034,0.001,0.001,0.373,0.184
0,7,63,0.027,1.057,0.002,0.157,0.142
0,7,70,0.61,0.004,0.192,0.151,0.003
0,7,77,0.016,0.534,0.002,0.004,0.32
0,7,84,0.034,0.524,0.009,0.127,0.093
0,7,91,1.241,0.011,0.003,0.001,0.138
0,7,98,0.531,0.603,0.32,0.268,0.277
0,7,105,1.286,0.001,0.603,0.319,0.026
0,7,112,0.613,0.412,0.006,0.288,0.157
0,7,119,0.173,0.398,0.404,0.388,0.094
0,7,126,0.18,0.025,0.008,1.181,0.086
0,7,133,1.208,0.74,0.607,0.207,0.189
0,7,140,0.614,0.158,0.289,0.001,0.009
0,7,147,0.257,0.579,0.478,2.088,0.403
0,7,154,1.002,1.107,0.538,0.006,0.355
0,7,161,0.042,0.009,0.475,0.228,0.248
0,7,168,0.189,1.364,0.336,0.146,0.279
0,7,175,1.173,0.624,0.491,0.096,0.552
0,14,0,0.539,0.022,0.372,0.195,0.09
0,14,7,1.147,0.811,1.006,0.001,0.013
0,14,14,0.005,0.072,0.142,0.136,0.001
0,14,21,0.492,0.001,0.001,0.03,0.098
0,14,28,0.4,0.098,0.375,0.28,0.019
0,14,35,5.019,0.001,0.005,0.01,0.001
0,14,42,0.022,0.299,0.001,0.001,0.064
0,14,49,4.755,0.25,0.001,0.029,0.054
0,14,56,0.515,0.04,0.001,0.047,0.051
0,14,63,0.01,0.0,0.019,0.178,0.086
0,14,70,0.005,0.284,0.084,0.226,0.095
0,14,77,0.573,0.356,0.279,0.118,0.001
0,14,84,0.442,0.048,0.017,0.067,0.056
0,14,91,0.371,0.075,0.002,0.069,0.019
0,14,98,0.064,0.151,0.081,0.132,0.001
0,14,105,0.803,0.122,0.015,0.0,0.042
0,14,112,0.209,0.387,0.038,0.014,0.061
0,14,119,0.04,0.094,0.0,0.001,0.068
0,14,126,0.006,0.268,0.001,0.101,0.001
0,14,133,0.413,0.001,0.11,0.0,0.09
0,14,140,0.004,0.111,0.002,0.001,0.074
0,14,147,0.887,0.001,0.278,0.291,0.09
0,14,154,0.733,0.003,0.001,0.001,0.001
0,14,161,0.732,0.285,0.042,0.153,0.083
0,14,168,0.413,0.093,0.168,0.0,0.063
0,14,175,0.098,0.004,0.081,0.169,0.047
0,21,0,0.01,0.343,0.007,0.001,0.007
0,21,7,0.003,0.504,0.012,0.002,0.003
0,21,14,4.712,0.713,0.043,0.055,0.014
0,21,21,0.003,0.564,0.004,0.148,0.001
0,21,28,0.801,0.003,0.084,0.216,0.001
0,21,35,0.506,0.01,0.09,0.046,0.001
0,21,42,0.724,0.004,0.019,0.059,0.099
0,21,49,0.33,0.202,0.089,0.052,0.094
0,21,56,0.407,0.001,0.112,0.095,0.031
0,21,63,0.292,0.332,0.118,0.002,0.001
0,21,70,0.105,0.103,0.048,0.002,0.005
0,21,77,0.008,0.137,0.077,0.001,0.119
0,21,84,0.015,0.072,0.126,0.157,0.001
0,21,91,0.129,0.264,0.136,0.085,0.01
0,21,98,0.405,0.0,0.045,0.073,0.065
0,21,105,0.008,0.009,0.178,0.121,0.091
0,21,112,0.137,0.027,0.034,0.001,0.035
0,21,119,0.413,0.001,0.0,0.079,0.105
0,21,126,0.043,0.408,0.024,0.002,0.046
0,21,133,0.317,0.24,0.061,0.062,0.003
0,21,140,0.554,0.12,0.047,0.054,0.104
0,21,147,0.985,0.178,0.002,0.064,0.034
0,21,154,0.858,0.101,0.214,0.216,0.023
0,21,161,0.721,0.067,0.003,0.063,0.084
0,21,168,0.283,0.059,0.005,0.0,0.033
0,21,175,0.492,0.248,0.022,0.022,0.027
0,28,0,0.012,0.0,0.007,0.001,0.002
0,28,7,0.005,0.054,0.005,0.087,0.035
0,28,14,0.008,0.001,0.021,0.039,0.011
0,28,21,0.003,0.002,0.005,0.026,0.004
0,28,28,0.002,0.05,0.082,0.044,0.018
0,28,35,0.013,0.11,0.0,0.001,0.0
0,28,42,0.364,0.114,0.001,0.001,0.002
0,28,49,0.135,0.04,0.069,0.07,0.053
0,28,56,0.477,0.004,0.073,0.066,0.007
0,28,63,0.17,0.0,0.14,0.025,0.001
0,28,70,0.346,0.025,0.069,0.044,0.017
0,28,77,0.002,0.142,0.001,0.001,0.059
0,28,84,0.484,0.006,0.034,0.046,0.001
0,28,91,0.0,0.133,0.1,0.001,0.036
0,28,98,0.003,0.047,0.067,0.001,0.044
0,28,105,0.239,0.168,0.043,0.001,0.015
0,28,112,0.022,0.249,0.161,0.053,0.047
0,28,119,0.349,0.004,0.021,0.046,0.076
0,28,126,0.002,0.139,0.022,0.018,0.022
0,28,133,0.218,0.004,0.145,0.07,0.05
0,28,140,0.007,0.076,0.005,0.001,0.005
0,28,147,0.609,0.142,0.113,0.0,0.06
0,28,154,0.381,0.004,0.048,0.171,0.001
0,28,161,0.353,0.002,0.068,0.025,0.063
0,28,168,0.108,0.005,0.028,0.059,0.069
0,28,175,0.004,0.075,0.128,0.001,0.0
0,35,0,0.0,0.002,0.001,0.001,0.111
0,35,7,0.478,0.432,0.001,0.001,0.002
0,35,14,0.002,0.121,0.181,0.001,0.0
0,35,21,0.248,0.097,0.055,0.05,0.065
0,35,28,0.767,0.261,0.144,0.001,0.002
0,35,35,0.004,0.359,0.001,0.05,0.021
0,35,42,0.242,0.079,0.067,0.044,0.052
0,35,49,0.001,0.006,0.109,0.008,0.002
0,35,56,0.382,0.107,0.085,0.023,0.035
0,35,63,0.456,0.072,0.248,0.037,0.12
0,35,70,0.057,0.001,0.037,0.015,0.046
0,35,77,0.265,0.047,0.008,0.0,0.003
0,35,84,0.487,0.051,0.061,0.047,0.01
0,35,91,0.282,0.046,0.024,0.002,0.023
0,35,98,0.278,0.003,0.085,0.013,0.069
0,35,105,0.001,0.259,0.001,0.001,0.006
0,35,112,0.293,0.247,0.001,0.003,0.005
0,35,119,0.292,0.19,0.187,0.001,0.129
0,35,126,0.002,0.03,0.074,0.004,0.057
0,35,133,0.306,0.002,0.033,0.035,0.001
0,35,140,0.354,0.001,0.041,0.001,0.094
0,35,147,0.799,0.277,0.055,0.003,0.047
0,35,154,0.56,0.254,0.099,0.0,0.065
0,35,161,0.157,0.001,0.003,0.048,0.056
0,35,168,0.112,0.066,0.044,0.001,0.06
