Euler1,Euler2,Euler3,azimuth360,azimuth270,azimuth180,azimuth90
0,0,0,0.0,0.0,0.0,0.215
0,0,7,0.0,0.0,0.0,0.0
0,0,14,0.0,0.0,0.0,0.272
0,0,21,0.0,0.0,0.0,0.0
0,0,28,0.0,0.272,0.0,0.0
0,0,35,0.373,0.0,0.0,0.193
0,0,42,0.239,0.0,0.325,0.0
0,0,49,0.273,0.0,0.0,0.0
0,0,56,0.0,0.268,0.0,0.0
0,0,63,0.0,0.357,0.251,0.0
0,0,70,0.0,0.0,0.359,0.0
0,0,77,0.286,0.0,0.0,0.0
0,0,84,0.349,0.0,0.0,0.386
0,0,91,0.0,0.0,0.0,0.0
0,0,98,0.298,0.0,0.0,0.0
0,0,105,0.0,0.259,0.0,0.436
0,0,112,0.232,0.313,0.0,0.229
0,0,119,0.0,0.0,0.0,0.217
0,0,126,0.0,0.0,0.0,0.471
0,0,133,0.0,0.0,0.0,0.0
0,0,140,0.0,0.0,0.0,0.0
0,0,147,0.257,0.0,0.0,0.0
0,0,154,0.309,0.0,0.0,0.0
0,0,161,0.0,0.0,0.369,0.0
0,0,168,0.0,0.291,0.0,0.325
0,0,175,0.0,0.277,0.0,0.334
0,7,0,0.194,0.002,0.475,0.004
0,7,7,0.002,0.016,0.003,0.827
0,7,14,0.007,0.657,1.735,0.001
0,7,21,0.015,0.066,0.109,0.0
0,7,28,0.15,0.001,0.004,0.38
0,7,35,0.381,1.364,2.287,0.001
0,7,42,0.303,0.146,0.175,0.064
0,7,49,0.087,0.014,0.002,0.097
0,7,56,0.05,0.157,0.182,0.012
0,7,63,0.01,0.004,0.004,0.005
0,7,70,0.001,1.485,0.013,0.054
0,7,77,0.379,0.102,0.034,0.0
0,7,84,0.002,0.06,0.188,0.004
0,7,91,0.002,0.007,0.002,0.004
0,7,98,0.048,0.018,0.001,0.007
0,7,105,0.309,0.069,0.003,0.001
0,7,112,0.023,0.212,0.063,0.057
0,7,119,0.276,0.408,0.282,0.002
0,7,126,0.304,0.055,0.108,0.166
0,7,133,0.062,0.0,0.516,0.001
0,7,140,0.199,0.018,0.18,0.683
0,7,147,0.018,0.001,1.044,0.148
0,7,154,1.422,0.002,0.305,0.025
0,7,161,0.238,0.158,0.024,2.867
0,7,168,0.308,0.038,0.093,0.033
0,7,175,1.96,0.167,0.117,0.394
0,14,0,0.0,0.1,0.124,0.001
0,14,7,0.488,0.773,0.776,0.762
0,14,14,0.001,0.09,0.001,0.001
0,14,21,0.012,0.173,0.091,0.001
0,14,28,0.107,0.261,0.195,0.02
0,14,35,0.005,0.002,0.137,0.013
0,14,42,0.056,0.201,0.003,0.009
