Euler1,Euler2,Euler3,misorientation,misor_noise
0,0,0,0.283,14.323
0,0,7,0.178,12.76
0,0,14,0.0,0.403
0,0,21,0.27,14.54
0,0,28,0.272,7.221
0,0,35,0.141,11.141
0,0,42,0.275,3.876
0,0,49,0.0,0.09
0,0,56,0.0,0.56
0,0,63,0.0,8.229
0,0,70,0.0,6.118
0,0,77,0.239,12.999
0,0,84,0.0,12.033
0,0,91,0.0,0.877
0,0,98,0.0,0.269
0,0,105,0.0,1.545
0,0,112,0.225,10.731
0,0,119,0.0,17.172
0,0,126,0.061,12.454
0,0,133,0.0,9.664
0,0,140,0.0,0.344
0,0,147,0.262,17.481
0,0,154,0.0,7.542
0,0,161,0.292,9.022
0,0,168,0.241,15.228
0,0,175,0.238,14.53
0,7,0,0.046,8.554
0,7,7,0.554,4.139
0,7,14,0.014,9.056
0,7,21,0.124,7.004
0,7,28,0.113,3.985
0,7,35,0.233,11.705
0,7,42,0.0,7.351
0,7,49,0.287,12.552
0,7,56,0.183,7.275
0,7,63,0.036,8.386
0,7,70,0.517,8.456
0,7,77,0.306,4.57
0,7,84,0.002,15.353
0,7,91,0.311,6.15
0,7,98,0.092,8.526
0,7,105,0.001,15.907
0,7,112,0.114,8.04
0,7,119,0.35,0.658
0,7,126,0.019,7.002
0,7,133,0.076,11.176
0,7,140,0.265,11.395
0,7,147,0.366,9.06
0,7,154,0.871,3.643
0,7,161,0.023,7.518
0,7,168,0.084,6.846
0,7,175,0.255,8.29
0,14,0,0.001,3.282
0,14,7,0.01,1.299
0,14,14,0.008,3.877
0,14,21,1.169,4.127
0,14,28,0.035,16.726
0,14,35,0.001,7.869
0,14,42,1.012,9.507
0,14,49,0.061,11.721
0,14,56,0.052,14.005
0,14,63,0.008,10.075
0,14,70,0.161,6.283
0,14,77,0.0,1.8
0,14,84,0.091,2.683
0,14,91,0.056,6.769
0,14,98,0.077,8.533
0,14,105,0.17,6.076
0,14,112,0.064,3.729
0,14,119,0.001,4.128
0,14,126,0.04,10.635
0,14,133,0.073,6.427
0,14,140,0.136,6.084
0,14,147,0.032,8.88
0,14,154,0.0,3.292
0,14,161,0.102,6.274
0,14,168,0.001,8.302
0,14,175,0.19,3.369
0,21,0,0.0,5.768
0,21,7,0.008,4.654
0,21,14,0.06,10.039
0,21,21,0.045,1.399
0,21,28,0.001,6.151
0,21,35,0.006,6.795
0,21,42,0.001,6.252
0,21,49,0.064,1.797
0,21,56,0.049,1.954
0,21,63,0.067,6.049
0,21,70,0.043,6.035
0,21,77,0.104,2.953
0,21,84,0.001,0.741
0,21,91,0.082,6.098
0,21,98,0.001,1.235
0,21,105,0.015,10.485
0,21,112,0.0,9.837
0,21,119,0.049,3.596
0,21,126,0.052,7.291
0,21,133,0.098,14.309
0,21,140,0.001,5.353
0,21,147,0.062,9.717
0,21,154,0.092,7.519
0,21,161,0.067,5.273
0,21,168,0.027,1.379
0,21,175,0.054,5.617
0,28,0,0.101,13.995
0,28,7,0.085,10.039
0,28,14,0.061,0.828
0,28,21,0.001,1.922
0,28,28,0.031,4.831
0,28,35,0.031,5.484
0,28,42,0.091,12.233
0,28,49,0.001,2.868
0,28,56,0.001,7.557
0,28,63,0.085,4.51
0,28,70,0.001,3.156
0,28,77,0.003,8.287
0,28,84,0.033,7.442
0,28,91,0.049,7.62
0,28,98,0.009,9.621
0,28,105,0.002,9.118
0,28,112,0.08,10.629
0,28,119,0.002,5.901
0,28,126,0.074,3.186
0,28,133,0.1,2.952
0,28,140,0.07,0.777
0,28,147,0.003,8.214
0,28,154,0.051,6.937
0,28,161,0.064,1.116
0,28,168,0.039,8.58
0,28,175,0.082,7.956
0,35,0,0.073,4.679
0,35,7,0.001,2.909
0,35,14,0.05,4.793
0,35,21,0.11,12.623
0,35,28,0.069,7.381
0,35,35,0.037,9.304
0,35,42,0.071,11.964
0,35,49,0.057,10.025
0,35,56,0.003,11.856
0,35,63,0.04,14.102
0,35,70,0.109,10.345
0,35,77,0.044,7.7
0,35,84,0.0,6.298
0,35,91,0.021,3.032
0,35,98,0.035,11.54
0,35,105,0.048,1.435
0,35,112,0.072,7.509
0,35,119,0.027,7.697
0,35,126,0.0,8.852
0,35,133,0.081,0.961
0,35,140,0.013,3.225
0,35,147,0.0,0.619
0,35,154,0.071,6.124
0,35,161,0.056,10.597
0,35,168,0.0,10.131
0,35,175,0.082,6.865
0,42,0,0.12,1.882
0,42,7,0.003,7.44
0,42,14,0.033,1.678
0,42,21,0.146,12.889
0,42,28,0.001,2.166
0,42,35,0.004,8.534
0,42,42,0.065,4.456
0,42,49,0.001,11.856
0,42,56,0.038,11.018
0,42,63,0.035,3.061
0,42,70,0.065,11.437
0,42,77,0.003,9.576
0,42,84,0.048,1.439
0,42,91,0.009,2.065
0,42,98,0.018,3.362
0,42,105,0.003,1.879
0,42,112,0.06,7.949
0,42,119,0.001,11.872
0,42,126,0.032,2.028
0,42,133,0.001,4.153
0,42,140,0.001,1.433
0,42,147,0.001,2.212
0,42,154,0.014,3.255
0,42,161,0.001,2.651
0,42,168,0.001,8.229
0,42,175,0.022,7.57
0,49,0,0.0,3.437
0,49,7,0.002,3.257
0,49,14,0.024,5.541
0,49,21,0.131,12.941
0,49,28,0.052,11.704
0,49,35,0.001,6.423
0,49,42,0.001,10.952
0,49,49,0.065,2.877
0,49,56,0.008,10.303
0,49,63,0.0,2.587
0,49,70,0.028,10.98
0,49,77,0.002,1.345
