Euler1,Euler2,Euler3,n14,n14_noise,n16,n16_noise,n20,n20_noise,n24,n24_noise
0,0,0,0.328,0.632,0.009,0.551,0.0,10.544,0.0,5.488
0,0,7,0.307,13.08,0.0,0.241,0.0,6.859,0.281,8.346
0,0,14,0.0,8.999,0.0,9.318,0.0,5.909,0.268,2.738
0,0,21,0.0,14.406,0.285,6.359,0.0,15.365,0.293,6.866
0,0,28,0.29,17.005,0.274,8.677,0.0,11.182,0.0,1.027
0,0,35,0.0,9.091,0.0,18.799,0.0,11.481,0.247,3.561
0,0,42,0.0,12.893,0.0,0.568,0.0,9.718,0.0,13.662
0,0,49,0.305,7.661,0.0,19.881,0.253,14.308,0.307,0.779
0,0,56,0.0,8.003,0.0,5.028,0.0,5.801,0.0,8.428
0,0,63,0.0,0.272,0.0,8.244,0.322,13.859,0.238,0.086
0,0,70,0.0,12.215,0.0,9.0,0.314,8.823,0.0,8.465
0,0,77,0.0,7.108,0.0,10.978,0.0,14.373,0.0,6.798
0,0,84,0.0,16.434,0.0,7.643,0.178,15.037,0.0,0.107
0,0,91,0.0,0.364,0.397,0.97,0.0,14.742,0.0,1.21
0,0,98,0.329,8.203,0.0,0.185,0.0,10.513,0.276,14.457
0,0,105,0.304,11.759,0.0,9.511,0.282,5.172,0.277,0.785
0,0,112,0.0,19.631,0.121,0.452,0.315,1.749,0.0,9.63
0,0,119,0.0,12.61,0.0,1.284,0.0,16.279,0.0,6.681
0,0,126,0.0,7.015,0.0,1.351,0.0,8.564,0.234,9.463
0,0,133,0.0,17.586,0.0,6.643,0.098,0.789,0.246,6.416
0,0,140,0.326,2.197,0.262,0.037,0.0,18.843,0.0,20.489
0,0,147,0.0,8.21,0.0,8.868,0.33,0.503,0.0,0.122
0,0,154,0.396,11.017,0.0,15.348,0.282,7.574,0.0,0.118
0,0,161,0.0,0.23,0.0,4.779,0.0,4.759,0.0,5.74
0,0,168,0.0,15.274,0.0,13.213,0.0,10.615,0.311,8.045
0,0,175,0.0,19.216,0.295,9.081,0.0,12.512,0.254,3.65
0,7,0,0.001,3.081,0.201,10.308,0.002,3.937,0.004,6.282
0,7,7,0.35,3.904,0.298,12.619,0.541,10.532,0.062,8.364
0,7,14,1.574,4.87,0.003,3.694,0.04,8.742,1.639,7.864
0,7,21,0.076,4.693,1.671,14.921,0.396,8.883,0.002,7.977
0,7,28,0.004,8.325,0.039,14.712,0.183,8.846,0.202,8.388
0,7,35,0.029,7.078,0.012,0.5,0.214,7.012,0.001,10.005
