Euler1,Euler2,Euler3,n14,n14_noise,n16,n16_noise,n20,n20_noise,n24,n24_noise
0,0,0,0.0,5.944,0.0,7.047,0.0,0.158,0.0,0.1
0,0,7,0.0,5.172,0.0,6.165,0.262,5.202,0.273,9.999
0,0,14,0.0,1.726,0.284,13.853,0.327,5.097,0.0,8.057
0,0,21,0.0,3.044,0.0,5.024,0.0,0.378,0.0,8.483
0,0,28,0.0,4.275,0.0,10.405,0.281,2.905,0.0,8.456
0,0,35,0.0,7.743,0.0,4.536,0.0,3.296,0.26,4.866
0,0,42,0.344,0.308,0.0,0.478,0.27,7.241,0.27,6.784
0,0,49,0.0,0.651,0.272,4.959,0.266,11.533,0.24,0.612
0,0,56,0.0,8.04,0.072,7.448,0.0,8.704,0.0,4.763
0,0,63,0.0,4.6,0.235,5.362,0.313,0.569,0.267,8.384
0,0,70,0.0,0.956,0.0,0.571,0.0,2.07,0.259,0.308
0,0,77,0.0,10.471,0.283,6.61,0.0,2.762,0.343,10.523
0,0,84,0.0,7.779,0.0,4.78,0.0,3.328,0.277,10.205
0,0,91,0.0,11.128,0.0,8.904,0.329,0.617,0.377,2.311
0,0,98,0.0,11.94,0.0,7.741,0.0,8.959,0.258,0.273
0,0,105,0.0,6.306,0.0,10.977,0.0,7.603,0.0,6.138
0,0,112,0.382,6.738,0.289,7.044,0.0,5.698,0.0,0.743
0,0,119,0.0,4.182,0.0,0.488,0.0,8.363,0.0,0.321
0,0,126,0.0,7.531,0.0,4.452,0.265,7.172,0.215,11.727
0,0,133,0.0,11.261,0.0,12.263,0.0,0.789,0.258,12.603
0,0,140,0.323,0.067,0.0,3.792,0.0,11.681,0.259,8.7
0,0,147,0.0,0.383,0.278,4.23,0.0,4.57,0.274,3.588
0,0,154,0.0,1.33,0.0,6.583,0.0,3.61,0.078,4.527
0,0,161,0.0,9.438,0.0,5.953,0.0,10.769,0.0,0.605
0,0,168,0.372,15.619,0.0,8.55,0.0,0.009,0.264,0.051
0,0,175,0.0,10.662,0.0,5.882,0.327,0.441,0.304,2.523
0,7,0,0.001,6.72,0.302,8.782,0.001,6.643,0.002,3.51
0,7,7,0.014,7.648,0.373,2.135,0.859,5.29,0.001,7.009
0,7,14,0.001,3.02,0.0,3.888,0.002,5.441,0.126,2.007
0,7,21,0.18,8.951,0.003,4.169,1.897,3.015,0.382,6.74
0,7,28,0.002,9.98,0.03,8.131,0.188,2.864,0.217,3.335
0,7,35,0.133,6.537,0.002,6.102,0.39,4.809,0.234,9.093
0,7,42,0.153,7.02,0.0,2.628,0.107,4.383,0.087,3.892
0,7,49,0.243,7.006,0.121,2.884,0.234,9.101,0.001,5.863
0,7,56,0.343,6.92,0.338,0.877,0.003,11.258,0.065,6.216
0,7,63,0.002,1.745,0.001,2.4,0.026,6.925,0.092,2.049
0,7,70,0.006,7.228,0.279,7.0,0.007,3.242,0.089,6.269
0,7,77,0.001,7.033,0.3,10.024,0.004,4.161,0.077,5.655
0,7,84,0.011,3.582,0.252,1.478,0.091,2.445,0.159,3.428
0,7,91,0.271,7.071,0.003,5.047,0.003,3.957,0.144,2.176
0,7,98,0.263,1.864,0.225,0.665,0.001,10.864,0.166,6.557
0,7,105,0.049,12.254,0.036,3.723,0.004,5.613,0.103,3.508
0,7,112,0.272,4.315,0.232,8.538,0.202,2.649,0.075,7.123
0,7,119,0.001,10.677,0.059,2.999,0.002,4.935,0.079,2.684
0,7,126,0.003,9.097,0.237,8.21,0.002,1.499,0.146,4.043
0,7,133,0.484,5.553,0.008,7.119,0.164,5.137,0.007,2.927
0,7,140,0.001,4.448,1.171,6.114,2.105,7.737,0.09,6.127
0,7,147,0.58,7.957,0.015,9.017,0.146,2.597,0.08,2.183
0,7,154,0.059,7.008,0.002,7.692,0.279,6.584,0.096,3.623
0,7,161,0.215,7.283,0.323,3.847,0.001,3.965,0.006,5.215
0,7,168,0.0,8.76,0.093,8.747,0.146,5.785,0.066,0.662
0,7,175,0.025,10.074,0.277,3.822,0.058,3.963,0.092,5.86
0,14,0,0.001,2.836,0.072,4.045,0.0,1.26,0.09,4.77
0,14,7,0.595,4.741,0.03,1.249,0.02,2.421,0.143,0.901
0,14,14,0.001,4.095,0.086,7.628,0.054,1.15,0.062,2.758
0,14,21,0.002,1.39,0.115,3.522,0.001,0.187,0.046,1.54
0,14,28,0.019,0.596,0.001,1.371,0.079,0.818,0.086,8.799
0,14,35,0.112,6.38,0.133,0.707,0.075,6.424,0.057,0.772
0,14,42,0.136,0.602,0.069,8.879,0.069,3.089,0.095,4.996
0,14,49,0.072,4.095,0.074,4.195,0.019,5.631,0.07,4.414
0,14,56,0.084,1.986,0.04,1.975,0.076,0.856,0.084,0.803
0,14,63,0.087,0.502,0.248,0.627,0.008,1.283,0.077,3.842
0,14,70,0.173,4.353,0.1,2.639,0.073,4.054,0.076,5.571
0,14,77,0.016,2.326,0.253,0.312,0.046,3.978,0.096,4.888
0,14,84,0.001,0.171,0.181,0.98,0.081,9.472,0.001,2.049
