Euler1,Euler2,Euler3,n28,n28_noise,n32,n32_noise
0,0,0,0.243,10.735,0.106,0.093
0,0,7,0.0,10.292,0.249,13.677
0,0,14,0.0,7.822,0.0,0.03
0,0,21,0.303,14.547,0.232,0.952
0,0,28,0.0,4.318,0.277,0.891
0,0,35,0.242,20.352,0.243,11.213
0,0,42,0.25,10.682,0.237,3.196
0,0,49,0.248,11.248,0.0,4.38
0,0,56,0.219,8.905,0.0,0.524
0,0,63,0.0,14.146,0.0,15.978
0,0,70,0.296,4.0,0.307,11.521
0,0,77,0.0,0.549,0.241,6.707
0,0,84,0.273,11.562,0.261,1.446
0,0,91,0.0,8.053,0.235,11.613
0,0,98,0.0,13.428,0.227,12.79
0,0,105,0.0,6.47,0.275,8.457
0,0,112,0.254,11.252,0.0,0.362
0,0,119,0.316,15.659,0.247,6.633
0,0,126,0.316,6.704,0.236,0.056
0,0,133,0.269,9.296,0.0,5.676
0,0,140,0.243,1.695,0.0,11.967
0,0,147,0.0,2.403,0.258,0.23
0,0,154,0.258,6.542,0.0,4.332
0,0,161,0.246,5.292,0.0,8.025
0,0,168,0.231,0.748,0.0,8.652
0,0,175,0.0,8.193,0.169,1.584
0,7,0,0.099,3.102,0.099,5.587
0,7,7,0.72,12.239,0.017,6.205
0,7,14,0.501,9.623,0.001,12.089
0,7,21,0.265,4.842,0.066,10.973
0,7,28,0.076,8.044,0.111,10.422
0,7,35,0.076,3.317,0.08,1.141
0,7,42,0.001,8.818,0.1,10.21
0,7,49,0.111,5.267,0.105,7.0
0,7,56,0.096,10.694,0.067,9.093
0,7,63,0.096,10.257,0.002,0.5
0,7,70,0.108,7.004,0.102,0.449
0,7,77,0.112,5.785,0.082,7.291
0,7,84,0.002,12.365,0.404,13.471
0,7,91,0.057,7.578,0.106,10.356
0,7,98,0.075,8.166,0.084,4.403
0,7,105,0.124,6.032,0.086,12.042
0,7,112,0.096,4.906,0.094,8.308
0,7,119,0.108,2.163,0.091,7.507
0,7,126,0.084,4.779,0.123,5.039
0,7,133,0.096,11.019,0.099,8.994
0,7,140,0.05,13.354,0.001,5.438
0,7,147,0.119,3.707,0.089,7.947
0,7,154,0.41,5.093,0.105,7.01
0,7,161,0.09,15.268,0.105,7.517
0,7,168,0.002,10.318,0.086,4.501
0,7,175,0.086,14.502,0.107,9.204
0,14,0,0.066,7.679,0.081,12.045
0,14,7,0.001,6.02,0.071,0.99
0,14,14,0.001,5.431,0.086,8.149
0,14,21,0.079,0.753,0.098,11.732
0,14,28,0.076,13.994,0.071,10.006
0,14,35,0.079,5.262,0.094,4.342
0,14,42,0.001,5.09,0.084,7.991
0,14,49,0.083,0.864,0.073,7.493
0,14,56,0.087,12.062,0.097,1.851
0,14,63,0.061,8.194,0.082,7.009
0,14,70,0.094,4.059,0.066,8.002
0,14,77,0.063,1.582,0.086,5.655
0,14,84,0.098,9.088,0.073,7.908
0,14,91,0.096,10.891,0.069,10.546
0,14,98,0.097,3.013,0.089,5.872
0,14,105,0.052,5.661,0.077,3.511
0,14,112,0.077,1.073,0.094,5.804
0,14,119,0.062,3.335,0.059,6.791
0,14,126,0.073,5.252,0.063,6.797
0,14,133,0.094,6.417,0.087,8.06
0,14,140,0.087,1.451,0.082,3.057
0,14,147,0.092,3.75,0.096,4.227
0,14,154,0.001,7.966,0.087,5.504
0,14,161,0.077,0.714,0.066,4.288
0,14,168,0.087,2.287,0.084,7.405
0,14,175,0.097,7.169,0.09,4.76
0,21,0,0.06,0.612,0.001,4.643
0,21,7,0.076,7.194,0.058,9.484
0,21,14,0.064,6.962,0.069,12.855
0,21,21,0.047,7.396,0.001,7.871
0,21,28,0.089,5.871,0.069,1.555
0,21,35,0.061,9.561,0.046,1.571
0,21,42,0.055,3.22,0.056,2.379
0,21,49,0.009,6.513,0.051,10.554
0,21,56,0.065,0.558,0.081,1.648
0,21,63,0.088,8.83,0.083,6.79
0,21,70,0.067,4.534,0.046,2.164
0,21,77,0.0,8.215,0.013,8.085
0,21,84,0.001,2.156,0.002,5.187
0,21,91,0.076,5.867,0.088,5.93
0,21,98,0.046,4.505,0.076,8.037
0,21,105,0.03,4.944,0.062,10.614
0,21,112,0.066,8.486,0.062,2.166
0,21,119,0.085,5.939,0.057,4.167
0,21,126,0.079,7.563,0.025,8.749
0,21,133,0.056,1.165,0.071,7.43
0,21,140,0.025,3.616,0.048,4.046
0,21,147,0.062,0.69,0.064,11.286
0,21,154,0.09,11.058,0.068,6.434
0,21,161,0.001,12.256,0.001,8.168
0,21,168,0.014,4.363,0.051,10.095
0,21,175,0.072,2.202,0.084,5.418
0,28,0,0.066,7.79,0.001,1.755
0,28,7,0.02,0.808,0.005,3.864
0,28,14,0.022,2.472,0.058,0.543
0,28,21,0.023,4.122,0.001,0.693
0,28,28,0.01,0.837,0.001,1.411
0,28,35,0.017,8.046,0.046,9.946
0,28,42,0.05,10.255,0.001,2.134
0,28,49,0.047,4.886,0.017,8.202
0,28,56,0.078,5.703,0.015,3.385
0,28,63,0.005,4.309,0.011,1.833
0,28,70,0.061,8.499,0.043,6.968
0,28,77,0.013,11.908,0.022,6.708
0,28,84,0.003,1.822,0.006,3.28
0,28,91,0.067,0.326,0.001,6.933
0,28,98,0.005,10.607,0.0,8.297
0,28,105,0.001,5.761,0.076,7.386
0,28,112,0.057,7.982,0.038,1.936
0,28,119,0.004,5.109,0.032,8.696
0,28,126,0.071,5.158,0.001,7.187
0,28,133,0.038,5.825,0.027,7.685
0,28,140,0.001,6.5,0.066,9.807
0,28,147,0.076,8.327,0.0,1.458
0,28,154,0.001,0.969,0.003,1.147
0,28,161,0.057,7.591,0.004,3.409
0,28,168,0.021,1.215,0.054,1.603
0,28,175,0.001,3.346,0.001,1.287
0,35,0,0.001,1.045,0.001,6.146
0,35,7,0.0,7.251,0.002,2.757
0,35,14,0.01,1.822,0.001,0.26
0,35,21,0.004,6.183,0.024,0.643
0,35,28,0.021,2.763,0.001,1.261
0,35,35,0.043,1.88,0.008,3.682
0,35,42,0.059,10.646,0.001,5.669
0,35,49,0.016,4.957,0.001,10.213
0,35,56,0.009,4.316,0.004,3.183
0,35,63,0.033,0.84,0.04,10.066
0,35,70,0.009,7.44,0.008,2.006
0,35,77,0.002,3.45,0.001,8.784
0,35,84,0.026,2.702,0.001,1.145
0,35,91,0.001,3.344,0.007,2.145
0,35,98,0.001,6.637,0.003,4.172
0,35,105,0.003,0.655,0.001,5.323
0,35,112,0.015,10.896,0.013,3.703
0,35,119,0.001,0.73,0.001,5.45
0,35,126,0.001,10.859,0.016,8.23
0,35,133,0.001,2.919,0.009,6.796
0,35,140,0.022,9.181,0.006,9.087
0,35,147,0.006,2.039,0.022,1.624
0,35,154,0.005,7.148,0.015,0.3
0,35,161,0.001,0.766,0.002,3.633
0,35,168,0.012,3.551,0.011,9.395
0,35,175,0.0,4.536,0.003,5.812
0,42,0,0.012,1.276,0.0,1.635
0,42,7,0.001,8.628,0.037,6.855
0,42,14,0.035,10.9,0.003,2.043
0,42,21,0.001,4.013,0.003,5.353
0,42,28,0.001,7.745,0.005,9.056
0,42,35,0.038,5.41,0.002,8.976
0,42,42,0.011,9.143,0.001,5.426
0,42,49,0.007,12.878,0.003,5.315
0,42,56,0.038,5.874,0.001,2.86
0,42,63,0.016,3.848,0.009,4.787
0,42,70,0.003,1.766,0.001,2.363
0,42,77,0.001,0.855,0.001,7.702
0,42,84,0.001,1.652,0.002,0.569
0,42,91,0.0,2.247,0.005,3.335
0,42,98,0.001,3.311,0.002,5.194
0,42,105,0.002,0.751,0.003,2.057
0,42,112,0.015,2.005,0.002,3.994
0,42,119,0.0,9.56,0.002,6.362
0,42,126,0.0,11.502,0.001,9.25
