phi1,PHI,phi2,X,Y
1.0,9.0,179.0,1,1
1.0,9.0,26.0,1,1
1.0,9.0,53.0,1,1
1.0,9.0,80.0,1,1
1.0,9.0,107.0,1,1
1.0,9.0,134.0,1,1
1.0,9.0,161.0,1,1
1.0,36.0,180.0,2,1
1.0,36.0,27.0,2,1
1.0,36.0,54.0,2,1
1.0,36.0,81.0,2,1
1.0,36.0,108.0,2,1
0.0,36.0,135.0,2,1
1.0,36.0,162.0,2,1
0.0,63.0,180.0,3,1
0.0,63.0,27.0,3,1
0.0,63.0,54.0,3,1
0.0,63.0,81.0,3,1
0.0,63.0,108.0,3,1
0.0,63.0,135.0,3,1
0.0,63.0,162.0,3,1
0.0,90.0,0.0,4,1
0.0,90.0,27.0,4,1
0.0,90.0,54.0,4,1
0.0,90.0,81.0,4,1
0.0,90.0,108.0,4,1
0.0,90.0,135.0,4,1
0.0,90.0,162.0,4,1
27.0,9.0,180.0,5,1
27.0,9.0,27.0,5,1
27.0,9.0,54.0,5,1
27.0,9.0,81.0,5,1
27.0,9.0,108.0,5,1
27.0,9.0,135.0,5,1
27.0,9.0,162.0,5,1
27.0,36.0,180.0,6,1
27.0,36.0,27.0,6,1
27.0,36.0,54.0,6,1
27.0,36.0,81.0,6,1
27.0,36.0,108.0,6,1
27.0,36.0,135.0,6,1
27.0,36.0,162.0,6,1
27.0,63.0,180.0,7,1
27.0,63.0,27.0,7,1
27.0,63.0,54.0,7,1
27.0,63.0,81.0,7,1
27.0,63.0,108.0,7,1
27.0,63.0,135.0,7,1
27.0,63.0,162.0,7,1
27.0,90.0,180.0,8,1
27.0,90.0,27.0,8,1
27.0,90.0,54.0,8,1
27.0,90.0,81.0,8,1
55.0,90.0,108.0,8,1
27.0,90.0,135.0,8,1
27.0,90.0,162.0,8,1
54.0,9.0,0.0,9,1
54.0,9.0,27.0,9,1
54.0,9.0,54.0,9,1
54.0,9.0,81.0,9,1
54.0,9.0,108.0,9,1
54.0,9.0,135.0,9,1
54.0,9.0,162.0,9,1
54.0,36.0,180.0,10,1
54.0,36.0,27.0,10,1
54.0,36.0,54.0,10,1
54.0,36.0,81.0,10,1
54.0,36.0,108.0,10,1
54.0,36.0,135.0,10,1
54.0,36.0,162.0,10,1
54.0,63.0,180.0,11,1
54.0,63.0,27.0,11,1
54.0,63.0,54.0,11,1
54.0,63.0,81.0,11,1
54.0,63.0,108.0,11,1
54.0,63.0,135.0,11,1
54.0,63.0,162.0,11,1
54.0,90.0,180.0,12,1
54.0,90.0,27.0,12,1
54.0,90.0,54.0,12,1
54.0,90.0,81.0,12,1
54.0,90.0,108.0,12,1
54.0,90.0,135.0,12,1
54.0,90.0,162.0,12,1
81.0,9.0,0.0,13,1
81.0,9.0,27.0,13,1
81.0,9.0,54.0,13,1
81.0,9.0,81.0,13,1
81.0,9.0,108.0,13,1
81.0,9.0,135.0,13,1
81.0,9.0,162.0,13,1
81.0,36.0,0.0,14,1
81.0,36.0,27.0,14,1
81.0,36.0,54.0,14,1
81.0,36.0,81.0,14,1
81.0,36.0,108.0,14,1
81.0,36.0,135.0,14,1
81.0,36.0,162.0,14,1
81.0,63.0,180.0,15,1
81.0,63.0,27.0,15,1
81.0,63.0,54.0,15,1
81.0,63.0,81.0,15,1
81.0,63.0,108.0,15,1
81.0,63.0,135.0,15,1
81.0,63.0,162.0,15,1
81.0,90.0,180.0,16,1
81.0,90.0,27.0,16,1
81.0,90.0,54.0,16,1
81.0,90.0,81.0,16,1
81.0,90.0,108.0,16,1
81.0,90.0,135.0,16,1
81.0,90.0,162.0,16,1
